CLAVE,NOMBRE,NUMEROSESIONES,DURACIONSESION,TALLER,FECHAALTA,FECHABAJA,TIPO
101,ALGEBRA SUPERIOR,4,1,,1982/06/18,,L
102,MATEMATICAS I,5,1,,1982/06/18,,L
103,FISICA I,4,1,,1982/06/18,,L
105,INTRODUCCION A LA INGENIERIA,2,1,,1982/06/18,,L
106,DIBUJO,3,1,,1982/06/18,,L
107,TOPOGRAFIA I,4,1,,1983/01/27,,L
108,PRACTICAS DE TOPOGRAFIA I,4,1,,1983/01/27,,L
140,INTRODUCCION A LA COMPUTACION,3,1,,1990/07/20,,L
141,INGLES I,3,1,,1990/07/20,,L
142,INTRODUCCION A LA INFORMATICA,3,1,,1990/07/20,,L
150,FUNDAMENTOS DE QUIMICA,2,1,,1982/08/31,,L
151,INGLES,2,1,,1982/08/31,06/01/1995,L
152,SEMINARIO,2,1,,1982/08/31,06/01/1995,L
201,MATEMATICAS II,5,1,,1982/06/18,,L
202,FISICA II,3,1,,1982/06/18,,L
203,ALGEBRA LINEAL,4,1,,1982/06/18,,L
204,TOPOGRAFIA,4,1,,1982/06/18,06/01/1995,L
206,ADMINISTRACION,2,1,,1982/06/28,,L
207,INFORMACION CARTOGRAFICA,2,1,,1982/06/18,06/01/1995,L
208,PRACTICAS DE TOPOGRAFIA,4,1,,1982/06/18,06/01/1995,L
209,PROGRAMACION I,4,1,,1983/08/08,,L
210,TOPOGRAFIA II,4,1,,1983/08/08,,L
211,PRACTICAS DE TOPOGRAFIA II,4,1,,1983/08/08,,L
241,INGLES II,3,1,,1990/07/20,,L
250,QUIMICA II,3,1,,1982/08/03,06/01/1995,L
251,GEOLOGIA FISICA I-A,3,1,,1982/08/03,06/01/1995,L
252,ANALISIS CUALITATIVO,4,1,,1982/08/31,06/01/1995,L
255,ANALISIS QUIMICO CUALITATIVO,3,1,,1982/08/31,06/01/1995,L
256,LAB. ANALISIS QUIMICO CUALITATIVO,2,1,,1982/08/31,06/01/1995,L
270,GEOLOGIA FISICA I,3,1,,1982/08/31,06/01/1995,L
271,PRACTICAS GEOLOGIA FISICA I,2,1,,1982/08/31,06/01/1995,L